API_version,element_type,element_name,element_type_change_type,changed_element_type,changed_element_name,changed_element_modification_type
25,Class,R.attr,Changes,Fields,"int shortcutLongLabel",Added
25,Class,R.attr,Changes,Fields,"int shortcutShortLabel",Added
25,Class,R.attr,Changes,Fields,"int showMetadataInPreview",Added
25,Class,RemoteConference.Callback,Changes,Methods,"void onConnectionPropertiesChanged(RemoteConference, int)",Added
25,Class,RemoteConnection,Changes,Methods,"int getConnectionProperties()",Added
25,Class,RemoteConnection,Changes,Methods,"void pullExternalCall()",Added
25,Class,RemoteConnection.Callback,Changes,Methods,"void onConnectionEvent(RemoteConnection, String, Bundle)",Added
25,Class,RemoteConnection.Callback,Changes,Methods,"void onConnectionPropertiesChanged(RemoteConnection, int)",Added
25,Class,Resources,Changes,Constructors,"Resources(AssetManager, DisplayMetrics, Configuration) Now deprecated.",Changed
25,Class,Resources,Changes,Methods,"void updateConfiguration(Configuration, DisplayMetrics) Now deprecated.",Changed
25,Class,Settings.Global,Changes,Fields,"String DEVICE_NAME",Added
25,Class,StorageManager,Changes,Fields,"String ACTION_MANAGE_STORAGE",Added
25,Class,TelecomManager,Changes,Fields,"String METADATA_INCLUDE_EXTERNAL_CALLS",Added
25,Class,TelephonyManager,Changes,Fields,"int NETWORK_TYPE_GSM",Added
25,Class,TelephonyManager,Changes,Fields,"int NETWORK_TYPE_IWLAN",Added
25,Class,TelephonyManager,Changes,Fields,"int NETWORK_TYPE_TD_SCDMA",Added
25,Class,UsageEvents.Event,Changes,Methods,"String getShortcutId()",Added
25,Class,UsageEvents.Event,Changes,Fields,"int SHORTCUT_INVOCATION",Added
25,Class,UserManager,Changes,Methods,"boolean isDemoUser()",Added
25,Class,View,Changes,Methods,"boolean getRevealOnFocusHint()",Added
25,Class,View,Changes,Methods,"void setRevealOnFocusHint(boolean)",Added
25,Class,VoicemailContract,Changes,Fields,"String EXTRA_PHONE_ACCOUNT_HANDLE",Added
25,Class,VoicemailContract.Status,Changes,Fields,"int CONFIGURATION_STATE_CONFIGURING",Added
25,Class,VoicemailContract.Status,Changes,Fields,"int CONFIGURATION_STATE_DISABLED",Added
25,Class,VoicemailContract.Status,Changes,Fields,"int CONFIGURATION_STATE_FAILED",Added
25,Class,VoicemailContract.Status,Changes,Fields,"String SOURCE_TYPE",Added
25,Class,WallpaperInfo,Changes,Methods,"boolean getShowMetadataInPreview()",Added
25,Class,WallpaperInfo,Changes,Methods,"CharSequence loadContextDescription(PackageManager)",Added
25,Class,WallpaperInfo,Changes,Methods,"Uri loadContextUri(PackageManager)",Added
25,Class,WindowManager.LayoutParams,Changes,Fields,"int TYPE_DRAWN_APPLICATION",Added
25,Class,InputContentInfo,Additions
25,Class,LauncherApps.ShortcutQuery,Additions
25,Class,ShortcutInfo,Additions
25,Class,ShortcutInfo.Builder,Additions
25,Class,ShortcutManager,Additions
24,Class,AbsSavedState,Changes,Constructors,"AbsSavedState(Parcel, ClassLoader)",Added
24,Class,AbsSeekBar,Changes,Methods,"Drawable getTickMark()",Added
24,Class,AbsSeekBar,Changes,Methods,"ColorStateList getTickMarkTintList()",Added
24,Class,AbsSeekBar,Changes,Methods,"Mode getTickMarkTintMode()",Added
24,Class,AbsSeekBar,Changes,Methods,"void setTickMark(Drawable)",Added
24,Class,AbsSeekBar,Changes,Methods,"void setTickMarkTintList(ColorStateList)",Added
24,Class,AbsSeekBar,Changes,Methods,"void setTickMarkTintMode(Mode)",Added
24,Class,AbstractStringBuilder,Changes,Interfaces,java.lang.CharSequence,Added
24,Class,AccessibilityNodeInfo,Changes,Methods,"int getDrawingOrder()",Added
24,Class,AccessibilityNodeInfo,Changes,Methods,"boolean isImportantForAccessibility()",Added
24,Class,AccessibilityNodeInfo,Changes,Methods,"void setDrawingOrder(int)",Added
24,Class,AccessibilityNodeInfo,Changes,Methods,"void setImportantForAccessibility(boolean)",Added
24,Class,AccessibilityNodeInfo,Changes,Fields,"String ACTION_ARGUMENT_PROGRESS_VALUE",Added
24,Class,AccessibilityNodeInfo.AccessibilityAction,Changes,Fields,"AccessibilityAction ACTION_SET_PROGRESS",Added
24,Class,AccessibilityService,Changes,Methods,"void disableSelf()",Added
24,Class,AccessibilityService,Changes,Methods,"boolean dispatchGesture(GestureDescription, GestureResultCallback, Handler)",Added
24,Class,AccessibilityService,Changes,Methods,"MagnificationController getMagnificationController()",Added
24,Class,AccessibilityService,Changes,Methods,"SoftKeyboardController getSoftKeyboardController()",Added
24,Class,AccessibilityService,Changes,Fields,"int GLOBAL_ACTION_TOGGLE_SPLIT_SCREEN",Added
24,Class,AccessibilityService,Changes,Fields,"int SHOW_MODE_AUTO",Added
24,Class,AccessibilityService,Changes,Fields,"int SHOW_MODE_HIDDEN",Added
24,Class,AccessibilityServiceInfo,Changes,Fields,"int CAPABILITY_CAN_CONTROL_MAGNIFICATION",Added
24,Class,AccessibilityServiceInfo,Changes,Fields,"int CAPABILITY_CAN_PERFORM_GESTURES",Added
24,Class,AccessibilityWindowInfo,Changes,Methods,"AccessibilityNodeInfo getAnchor()",Added
24,Class,AccessibilityWindowInfo,Changes,Methods,"CharSequence getTitle()",Added
24,Class,AccessibilityWindowInfo,Changes,Fields,"int TYPE_SPLIT_SCREEN_DIVIDER",Added
24,Class,AccessibleObject,Changes,Methods,"boolean isAnnotationPresent(Class<Annotation>)",Removed
