API_version,element_type,element_name,element_type_change_type,changed_element_type,changed_element_name,changed_element_modification_type
24,Package,android.app.job,Changes,Classes,JobInfo,Changed
24,Package,android.app.job,Changes,Classes,JobInfo.Builder,Changed
24,Package,android.app.job,Changes,Classes,JobParameters,Changed
24,Package,android.app.job,Changes,Classes,JobScheduler,Changed
24,Package,android.app.usage,Changes,Classes,NetworkStatsManager.UsageCallback,Added
24,Package,android.app.usage,Changes,Classes,NetworkStats.Bucket,Changed
24,Package,android.app.usage,Changes,Classes,NetworkStatsManager,Changed
24,Package,android.bluetooth,Changes,Classes,BluetoothGattCharacteristic,Changed
24,Package,android.bluetooth,Changes,Classes,BluetoothGattDescriptor,Changed
24,Package,android.bluetooth,Changes,Classes,BluetoothGattService,Changed
24,Package,android.content,Changes,Classes,ClipDescription,Changed
24,Package,android.content,Changes,Classes,ContentProviderClient,Changed
24,Package,android.content,Changes,Classes,ContentResolver,Changed
24,Package,android.content,Changes,Classes,Context,Changed
24,Package,android.content,Changes,Classes,ContextWrapper,Changed
24,Package,android.content,Changes,Classes,Intent,Changed
24,Package,android.content,Changes,Classes,SyncRequest.Builder,Changed
24,Package,android.content.pm,Changes,Classes,ActivityInfo.WindowLayout,Added
24,Package,android.content.pm,Changes,Classes,ActivityInfo,Changed
24,Package,android.content.pm,Changes,Classes,ApplicationInfo,Changed
24,Package,android.content.pm,Changes,Classes,ComponentInfo,Changed
24,Package,android.content.pm,Changes,Classes,FeatureInfo,Changed
24,Package,android.content.pm,Changes,Classes,LauncherApps.Callback,Changed
24,Package,android.content.pm,Changes,Classes,PackageInstaller.Session,Changed
24,Package,android.content.pm,Changes,Classes,PackageInstaller.SessionParams,Changed
24,Package,android.content.pm,Changes,Classes,PackageManager,Changed
24,Package,android.content.pm,Changes,Classes,PermissionInfo,Changed
24,Package,android.content.pm,Changes,Classes,ServiceInfo,Changed
24,Package,android.content.res,Changes,Classes,Configuration,Changed
24,Package,android.content.res,Changes,Classes,Resources.NotFoundException,Changed
24,Package,android.database,Changes,Classes,CursorJoiner,Changed
24,Package,android.database.sqlite,Changes,Classes,SQLiteDatabase,Changed
24,Package,android.drm,Changes,Classes,DrmManagerClient,Changed
24,Package,android.graphics,Changes,Classes,AvoidXfermode,Removed
24,Package,android.graphics,Changes,Classes,AvoidXfermode.Mode,Removed
24,Package,android.graphics,Changes,Classes,PixelXorXfermode,Removed
24,Package,android.graphics,Changes,Classes,BitmapFactory.Options,Changed
24,Package,android.graphics,Changes,Classes,Color,Changed
24,Package,android.graphics,Changes,Classes,ImageFormat,Changed
24,Package,android.graphics,Changes,Classes,Outline,Changed
24,Package,android.graphics,Changes,Classes,Paint,Changed
24,Package,android.graphics.drawable,Changes,Classes,GradientDrawable,Changed
24,Package,android.graphics.drawable,Changes,Classes,LayerDrawable,Changed
24,Package,android.hardware,Changes,Classes,SensorAdditionalInfo,Added
24,Package,android.hardware,Changes,Classes,SensorEventCallback,Added
24,Package,android.hardware,Changes,Classes,SensorManager.DynamicSensorCallback,Added
24,Package,android.hardware,Changes,Classes,Camera,Changed
24,Package,android.hardware,Changes,Classes,Sensor,Changed
24,Package,android.hardware,Changes,Classes,SensorManager,Changed
24,Package,android.hardware.camera2,Changes,Classes,CameraCaptureSession. CaptureCallback,Changed
24,Package,android.hardware.camera2,Changes,Classes,CameraCharacteristics,Changed
24,Package,android.hardware.camera2,Changes,Classes,CameraDevice,Changed
24,Package,android.hardware.camera2,Changes,Classes,CameraMetadata,Changed
24,Package,android.hardware.camera2,Changes,Classes,CaptureRequest,Changed
24,Package,android.hardware.camera2,Changes,Classes,CaptureResult,Changed
24,Package,android.hardware.camera2.params,Changes,Classes,OutputConfiguration,Added
24,Package,android.location,Changes,Classes,GnssClock,Added
24,Package,android.location,Changes,Classes,GnssMeasurement,Added
24,Package,android.location,Changes,Classes,GnssMeasurementsEvent,Added
24,Package,android.location,Changes,Classes,GnssMeasurementsEvent. Callback,Added
24,Package,android.location,Changes,Classes,GnssNavigationMessage,Added
24,Package,android.location,Changes,Classes,GnssNavigationMessage. Callback,Added
24,Package,android.location,Changes,Classes,GnssStatus,Added
24,Package,android.location,Changes,Classes,GnssStatus.Callback,Added
24,Package,android.location,Changes,Interfaces,OnNmeaMessageListener,Added
24,Package,android.location,Changes,Classes,GpsSatellite,Changed
24,Package,android.location,Changes,Classes,GpsStatus,Changed
24,Package,android.location,Changes,Interfaces,GpsStatus.Listener,Changed
24,Package,android.location,Changes,Interfaces,GpsStatus.NmeaListener,Changed
24,Package,android.location,Changes,Classes,LocationManager,Changed
24,Package,android.media,Changes,Classes,AudioManager.AudioRecordingCallback,Added
24,Package,android.media,Changes,Classes,AudioRecordingConfiguration,Added
24,Package,android.media,Changes,Interfaces,AudioRouting,Added
24,Package,android.media,Changes,Interfaces,AudioRouting.OnRoutingChangedListener,Added
24,Package,android.media,Changes,Classes,DrmInitData,Added
24,Package,android.media,Changes,Classes,DrmInitData.SchemeInitData,Added
24,Package,android.media,Changes,Classes,MediaCodec.CryptoInfo.Pattern,Added
24,Package,android.media,Changes,Classes,AudioAttributes,Changed
24,Package,android.media,Changes,Classes,AudioDeviceInfo,Changed
24,Package,android.media,Changes,Classes,AudioFormat,Changed
24,Package,android.media,Changes,Classes,AudioManager,Changed
24,Package,android.media,Changes,Classes,AudioRecord,Changed
24,Package,android.media,Changes,Interfaces,AudioRecord.OnRoutingChangedListener,Changed
24,Package,android.media,Changes,Classes,AudioTimestamp,Changed
24,Package,android.media,Changes,Classes,AudioTrack,Changed
24,Package,android.media,Changes,Interfaces,AudioTrack.OnRoutingChangedListener,Changed
24,Package,android.media,Changes,Classes,ExifInterface,Changed
24,Package,android.media,Changes,Classes,MediaCodec,Changed
24,Package,android.media,Changes,Classes,MediaCodec.CryptoException,Changed
24,Package,android.media,Changes,Classes,MediaCodec.CryptoInfo,Changed
24,Package,android.media,Changes,Classes,MediaCodecInfo.CodecCapabilities,Changed
24,Package,android.media,Changes,Classes,MediaCodecInfo.CodecProfileLevel,Changed
24,Package,android.media,Changes,Classes,MediaExtractor,Changed
24,Package,android.media,Changes,Classes,MediaFormat,Changed
24,Package,android.media,Changes,Classes,MediaPlayer,Changed
24,Package,android.media,Changes,Classes,MediaRecorder,Changed
24,Package,android.media,Changes,Classes,MediaRecorder.AudioSource,Changed
24,Package,android.media,Changes,Classes,MediaRecorder.VideoEncoder,Changed
24,Package,android.media,Changes,Classes,MediaRouter.RouteInfo,Changed
24,Package,android.media.browse,Changes,Classes,MediaBrowser,Changed
24,Package,android.media.browse,Changes,Classes,MediaBrowser.SubscriptionCallback,Changed
24,Package,android.media.session,Changes,Classes,MediaController.TransportControls,Changed
24,Package,android.media.session,Changes,Classes,MediaSession.Callback,Changed
24,Package,android.media.session,Changes,Classes,PlaybackState,Changed
24,Package,android.media.tv,Changes,Classes,TvContract.RecordedPrograms,Added
24,Package,android.media.tv,Changes,Classes,TvInputInfo.Builder,Added
24,Package,android.media.tv,Changes,Classes,TvInputService.RecordingSession,Added
24,Package,android.media.tv,Changes,Classes,TvRecordingClient,Added
24,Package,android.media.tv,Changes,Classes,TvRecordingClient.RecordingCallback,Added
24,Package,android.media.tv,Changes,Classes,TvContentRating,Changed
24,Package,android.media.tv,Changes,Classes,TvContract,Changed
24,Package,android.media.tv,Changes,Classes,TvContract.Programs,Changed
24,Package,android.media.tv,Changes,Classes,TvContract.Programs.Genres,Changed
24,Package,android.media.tv,Changes,Classes,TvInputInfo,Changed
24,Package,android.media.tv,Changes,Classes,TvInputManager,Changed
24,Package,android.media.tv,Changes,Classes,TvInputManager.TvInputCallback,Changed
24,Package,android.media.tv,Changes,Classes,TvInputService,Changed
24,Package,android.media.tv,Changes,Classes,TvInputService.Session,Changed
24,Package,android.media.tv,Changes,Classes,TvTrackInfo,Changed
24,Package,android.media.tv,Changes,Classes,TvTrackInfo.Builder,Changed
24,Package,android.media.tv,Changes,Classes,TvView,Changed
24,Package,android.mtp,Changes,Classes,MtpEvent,Added
24,Package,android.mtp,Changes,Classes,MtpObjectInfo.Builder,Added
24,Package,android.mtp,Changes,Classes,MtpConstants,Changed
24,Package,android.mtp,Changes,Classes,MtpDevice,Changed
24,Package,android.mtp,Changes,Classes,MtpDeviceInfo,Changed
24,Package,android.mtp,Changes,Classes,MtpObjectInfo,Changed
24,Package,android.net,Changes,Classes,ConnectivityManager,Changed
24,Package,android.net,Changes,Classes,NetworkInfo,Changed
24,Package,android.net,Changes,Classes,TrafficStats,Changed
24,Package,android.net.wifi,Changes,Classes,WifiEnterpriseConfig,Changed
24,Package,android.net.wifi,Changes,Classes,WifiEnterpriseConfig.Eap,Changed
24,Package,android.nfc,Changes,Interfaces,NfcAdapter.OnTagRemovedListener,Added
24,Package,android.nfc,Changes,Classes,NfcAdapter,Changed
24,Package,android.nfc.cardemulation,Changes,Classes,HostNfcFService,Added
24,Package,android.nfc.cardemulation,Changes,Classes,NfcFCardEmulation,Added
24,Package,android.opengl,Changes,Classes,GLES32,Added
24,Package,android.opengl,Changes,Interfaces,GLES32.DebugProc,Added
24,Package,android.opengl,Changes,Classes,GLES30,Changed
