API_version,element_type,element_name,element_type_change_type,changed_element_type,changed_element_name,changed_element_modification_type
18,Class,BluetoothDevice,Changes,Methods,"int getType()",Added
18,Class,BluetoothDevice,Changes,Fields,"int DEVICE_TYPE_CLASSIC",Added
18,Class,BluetoothDevice,Changes,Fields,"int DEVICE_TYPE_DUAL",Added
18,Class,BluetoothDevice,Changes,Fields,"int DEVICE_TYPE_LE",Added
18,Class,BluetoothDevice,Changes,Fields,"int DEVICE_TYPE_UNKNOWN",Added
18,Class,BluetoothProfile,Changes,Fields,"int GATT",Added
18,Class,BluetoothProfile,Changes,Fields,"int GATT_SERVER",Added
18,Class,Build.VERSION_CODES,Changes,Fields,"int JELLY_BEAN_MR2",Added
18,Class,Bundle,Changes,Methods,"IBinder getBinder(String)",Added
18,Class,Bundle,Changes,Methods,"void putBinder(String, IBinder)",Added
18,Class,CalendarContract.SyncColumns,Changes,Fields,"String MUTATORS",Added
18,Class,CellIdentityGsm,Changes,Methods,"int getPsc() Now deprecated.",Changed
18,Class,ConnectivityManager,Changes,Fields,"int DEFAULT_NETWORK_PREFERENCE Now deprecated.",Changed
18,Class,ContactsContract.ContactsColumns,Changes,Fields,"String CONTACT_LAST_UPDATED_TIMESTAMP",Added
18,Class,ContactsContract.Data,Changes,Fields,"String VISIBLE_CONTACTS_ONLY",Added
18,Class,ContactsContract.DataColumnsWithJoins,Changes,Interfaces,android.provider.ContactsContract.DataUsageStatColumns,Added
18,Class,ContactsContract.Intents,Changes,Fields,"String CONTACTS_DATABASE_CREATED",Added
18,Class,ContentProvider,Changes,Methods,"void dump(FileDescriptor, PrintWriter, String[])",Added
18,Class,Context,Changes,Fields,"String BLUETOOTH_SERVICE",Added
18,Class,DateFormat,Changes,Methods,"String getBestDateTimePattern(Locale, String)",Added
18,Class,DateFormat,Changes,Fields,"char AM_PM Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char CAPITAL_AM_PM Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char DATE Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char DAY Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char HOUR Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char HOUR_OF_DAY Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char MINUTE Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char MONTH Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char QUOTE Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char SECONDS Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char STANDALONE_MONTH Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char TIME_ZONE Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char YEAR Now deprecated.",Changed
18,Class,Debug,Changes,Methods,"void startAllocCounting() Now deprecated.",Changed
18,Class,Debug,Changes,Methods,"void stopAllocCounting() Now deprecated.",Changed
18,Class,DevicePolicyManager,Changes,Methods,"boolean isDeviceOwnerApp(String)",Added
18,Class,DhcpInfo,Deprecated
18,Class,DisplayMetrics,Changes,Fields,"int DENSITY_XXXHIGH",Added
18,Class,EasyEditSpan,Changes,Constructors,"EasyEditSpan(PendingIntent)",Added
18,Class,EasyEditSpan,Changes,Constructors,"EasyEditSpan(Parcel)",Added
18,Class,EasyEditSpan,Changes,Fields,"String EXTRA_TEXT_CHANGED_TYPE",Added
18,Class,EasyEditSpan,Changes,Fields,"int TEXT_DELETED",Added
18,Class,EasyEditSpan,Changes,Fields,"int TEXT_MODIFIED",Added
18,Class,ExpandableListView,Changes,Methods,"void setChildIndicatorBoundsRelative(int, int)",Added
18,Class,ExpandableListView,Changes,Methods,"void setIndicatorBoundsRelative(int, int)",Added
18,Class,FieldPacker,Changes,Constructors,"FieldPacker(byte[])",Added
18,Class,FieldPacker,Changes,Methods,"boolean subBoolean()",Added
18,Class,FieldPacker,Changes,Methods,"Byte2 subByte2()",Added
18,Class,FieldPacker,Changes,Methods,"Byte3 subByte3()",Added
18,Class,FieldPacker,Changes,Methods,"Byte4 subByte4()",Added
18,Class,FieldPacker,Changes,Methods,"Double2 subDouble2()",Added
18,Class,FieldPacker,Changes,Methods,"Double3 subDouble3()",Added
18,Class,FieldPacker,Changes,Methods,"Double4 subDouble4()",Added
18,Class,FieldPacker,Changes,Methods,"float subF32()",Added
18,Class,FieldPacker,Changes,Methods,"double subF64()",Added
18,Class,FieldPacker,Changes,Methods,"Float2 subFloat2()",Added
18,Class,FieldPacker,Changes,Methods,"Float3 subFloat3()",Added
18,Class,FieldPacker,Changes,Methods,"Float4 subFloat4()",Added
18,Class,FieldPacker,Changes,Methods,"short subI16()",Added
18,Class,FieldPacker,Changes,Methods,"int subI32()",Added
18,Class,FieldPacker,Changes,Methods,"long subI64()",Added
18,Class,FieldPacker,Changes,Methods,"byte subI8()",Added
18,Class,FieldPacker,Changes,Methods,"Int2 subInt2()",Added
18,Class,FieldPacker,Changes,Methods,"Int3 subInt3()",Added
18,Class,FieldPacker,Changes,Methods,"Int4 subInt4()",Added
18,Class,FieldPacker,Changes,Methods,"Long2 subLong2()",Added
18,Class,FieldPacker,Changes,Methods,"Long3 subLong3()",Added
18,Class,FieldPacker,Changes,Methods,"Long4 subLong4()",Added
18,Class,FieldPacker,Changes,Methods,"Matrix2f subMatrix2f()",Added
18,Class,FieldPacker,Changes,Methods,"Matrix3f subMatrix3f()",Added
18,Class,FieldPacker,Changes,Methods,"Matrix4f subMatrix4f()",Added
18,Class,FieldPacker,Changes,Methods,"Short2 subShort2()",Added
18,Class,FieldPacker,Changes,Methods,"Short3 subShort3()",Added
18,Class,FieldPacker,Changes,Methods,"Short4 subShort4()",Added
18,Class,FieldPacker,Changes,Methods,"void subalign(int)",Added
18,Class,GLES20,Changes,Fields,"int GL_STENCIL_INDEX Now deprecated.",Changed
18,Class,HandlerThread,Changes,Methods,"boolean quitSafely()",Added
18,Class,InputDevice,Changes,Fields,"int SOURCE_CLASS_NONE",Added
18,Class,InputDevice,Changes,Fields,"int SOURCE_TOUCH_NAVIGATION",Added
18,Class,InputDevice.MotionRange,Changes,Methods,"float getResolution()",Added
18,Class,InputDevice.MotionRange,Changes,Methods,"boolean isFromSource(int)",Added
18,Class,InputEvent,Changes,Methods,"boolean isFromSource(int)",Added
18,Class,Instrumentation,Changes,Methods,"UiAutomation getUiAutomation()",Added
18,Class,InstrumentationTestRunner,Changes,Methods,"Bundle getArguments()",Added
18,Class,Intent,Changes,Fields,"String ACTION_GET_RESTRICTION_ENTRIES",Added
18,Class,Intent,Changes,Fields,"String EXTRA_ALLOW_MULTIPLE",Added
18,Class,Intent,Changes,Fields,"String EXTRA_ASSIST_CONTEXT",Added
18,Class,Intent,Changes,Fields,"String EXTRA_ASSIST_PACKAGE",Added
18,Class,Intent,Changes,Fields,"String EXTRA_RESTRICTIONS_BUNDLE",Added
18,Class,Intent,Changes,Fields,"String EXTRA_RESTRICTIONS_INTENT",Added
18,Class,Intent,Changes,Fields,"String EXTRA_RESTRICTIONS_LIST",Added
18,Class,KeyChain,Changes,Methods,"boolean isBoundKeyAlgorithm(String)",Added
18,Class,KeyChain,Changes,Methods,"boolean isKeyAlgorithmSupported(String)",Added
18,Class,KeyEvent,Changes,Fields,"int KEYCODE_BRIGHTNESS_DOWN",Added
18,Class,KeyEvent,Changes,Fields,"int KEYCODE_BRIGHTNESS_UP",Added
18,Class,Loader,Changes,Methods,"void commitContentChanged()",Added
18,Class,Loader,Changes,Methods,"void rollbackContentChanged()",Added
18,Class,Location,Changes,Methods,"boolean isFromMockProvider()",Added
18,Class,Looper,Changes,Methods,"void quitSafely()",Added
18,Class,Manifest.permission,Changes,Fields,"String BIND_NOTIFICATION_LISTENER_SERVICE",Added
18,Class,Manifest.permission,Changes,Fields,"String GET_TOP_ACTIVITY_INFO",Added
18,Class,Manifest.permission,Changes,Fields,"String LOCATION_HARDWARE",Added
18,Class,Manifest.permission,Changes,Fields,"String SEND_RESPOND_VIA_MESSAGE",Added
18,Class,Manifest.permission_group,Changes,Fields,"String ACCESSIBILITY_FEATURES",Added
18,Class,MediaCodec,Changes,Methods,"Surface createInputSurface()",Added
18,Class,MediaCodec,Changes,Methods,"MediaCodecInfo getCodecInfo()",Added
18,Class,MediaCodec,Changes,Methods,"String getName()",Added
18,Class,MediaCodec,Changes,Methods,"void signalEndOfInputStream()",Added
18,Class,MediaCodecInfo.CodecCapabilities,Changes,Fields,"int COLOR_FormatSurface",Added
18,Class,MediaCodecInfo.CodecProfileLevel,Changes,Fields,"int VP8Level_Version0",Added
18,Class,MediaCodecInfo.CodecProfileLevel,Changes,Fields,"int VP8Level_Version1",Added
18,Class,MediaCodecInfo.CodecProfileLevel,Changes,Fields,"int VP8Level_Version2",Added
18,Class,MediaCodecInfo.CodecProfileLevel,Changes,Fields,"int VP8Level_Version3",Added
18,Class,MediaCodecInfo.CodecProfileLevel,Changes,Fields,"int VP8ProfileMain",Added
18,Class,MediaController.MediaPlayerControl,Changes,Methods,"int getAudioSessionId()",Added
18,Class,MediaExtractor,Changes,Methods,"(Map<UUID, byte[]>) getPsshInfo()",Added
18,Class,MediaExtractor,Changes,Methods,"void setDataSource(FileDescriptor) Change in exceptions thrown from no exceptions to java.io.IOException.",Changed
18,Class,MediaExtractor,Changes,Methods,"void setDataSource(FileDescriptor, long, long) Change in exceptions thrown from no exceptions to java.io.IOException.",Changed
18,Class,MediaExtractor,Changes,Methods,"void setDataSource(String) Change in exceptions thrown from no exceptions to java.io.IOException.",Changed
18,Class,MediaExtractor,Changes,Methods,"void setDataSource(String, Map<String, String>) Change in exceptions thrown from no exceptions to java.io.IOException.",Changed
18,Class,MediaRouter,Changes,Methods,"void addCallback(int, Callback, int)",Added
18,Class,MediaRouter,Changes,Methods,"RouteInfo getDefaultRoute()",Added
18,Class,MediaRouter,Changes,Fields,"int CALLBACK_FLAG_PERFORM_ACTIVE_SCAN",Added
18,Class,MediaRouter,Changes,Fields,"int CALLBACK_FLAG_UNFILTERED_EVENTS",Added
18,Class,MediaRouter.RouteInfo,Changes,Methods,"CharSequence getDescription()",Added
18,Class,MediaRouter.RouteInfo,Changes,Methods,"boolean isConnecting()",Added
18,Class,MediaRouter.UserRouteInfo,Changes,Methods,"void setDescription(CharSequence)",Added
18,Class,MessageQueue,Changes,Methods,"void addIdleHandler(IdleHandler) Change from final to non-final.",Changed
18,Class,MessageQueue,Changes,Methods,"void removeIdleHandler(IdleHandler) Change from final to non-final.",Changed
18,Class,MockContentResolver,Changes,Constructors,"MockContentResolver(Context)",Added
18,Class,MockPackageManager,Changes,Methods,"List<PackageInfo> getPackagesHoldingPermissions(String[], int)",Added
18,Class,NfcAdapter,Changes,Fields,"String ACTION_ADAPTER_STATE_CHANGED",Added
18,Class,NfcAdapter,Changes,Fields,"String EXTRA_ADAPTER_STATE",Added
18,Class,NfcAdapter,Changes,Fields,"int STATE_OFF",Added
18,Class,NfcAdapter,Changes,Fields,"int STATE_ON",Added
18,Class,NfcAdapter,Changes,Fields,"int STATE_TURNING_OFF",Added
18,Class,NfcAdapter,Changes,Fields,"int STATE_TURNING_ON",Added
18,Class,ObjectAnimator,Changes,Methods,"void setAutoCancel(boolean)",Added
18,Class,PackageManager,Changes,Methods,"List<PackageInfo> getPackagesHoldingPermissions(String[], int)",Added
18,Class,PackageManager,Changes,Fields,"int COMPONENT_ENABLED_STATE_DISABLED_UNTIL_USED",Added
18,Class,PackageManager,Changes,Fields,"String FEATURE_APP_WIDGETS",Added
18,Class,PackageManager,Changes,Fields,"String FEATURE_BLUETOOTH_LE",Added
18,Class,PackageManager,Changes,Fields,"String FEATURE_HOME_SCREEN",Added
18,Class,PackageManager,Changes,Fields,"String FEATURE_INPUT_METHODS",Added
18,Class,PackageManager,Changes,Fields,"int GET_DISABLED_UNTIL_USED_COMPONENTS",Added
18,Class,Paint,Changes,Methods,"boolean isLinearText() Change from deprecated to undeprecated.",Changed
18,Class,Paint,Changes,Methods,"void setLinearText(boolean) Change from deprecated to undeprecated.",Changed
18,Class,Picture,Changes,Methods,"Picture createFromStream(InputStream) Now deprecated.",Changed
18,Class,Picture,Changes,Methods,"void writeToStream(OutputStream) Now deprecated.",Changed
18,Class,Process,Changes,Fields,"int BLUETOOTH_GID",Removed
18,Class,QuickContactBadge,Changes,Methods,"void assignContactFromEmail(String, boolean, Bundle)",Added
18,Class,QuickContactBadge,Changes,Methods,"void assignContactFromPhone(String, boolean, Bundle)",Added
18,Class,R.attr,Changes,Fields,"int canRequestEnhancedWebAccessibility",Added
18,Class,R.attr,Changes,Fields,"int canRequestFilterKeyEvents",Added
18,Class,R.attr,Changes,Fields,"int canRequestTouchExplorationMode",Added
18,Class,R.attr,Changes,Fields,"int childIndicatorEnd",Added
18,Class,R.attr,Changes,Fields,"int childIndicatorStart",Added
18,Class,R.attr,Changes,Fields,"int indicatorEnd",Added
18,Class,R.attr,Changes,Fields,"int indicatorStart",Added
18,Class,R.attr,Changes,Fields,"int layoutMode",Added
18,Class,R.attr,Changes,Fields,"int mipMap",Added
18,Class,R.attr,Changes,Fields,"int mirrorForRtl",Added
18,Class,R.attr,Changes,Fields,"int requiredAccountType",Added
